 VX= 8.841891235384890E-04 VY=-1.166410808786355E-02 VZ=-8.029643799453659E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= 1.8                                            
  M1=  10.      M2=  16.      k1=  25.    k2=  10.     PHCOF= n.a.            
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
  AMRAT=  0.                                      DT=  0.                     
  A1= 1.580981463194E-9   A2= 9.186415933073E-11  A3= 0.                      
Standard model:                                                               
  ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  9.052319415238566E-02,  1.567360520001375E+01, -2.580661672100793E-03,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  9.041871192271649E-02,  1.565551466273670E+01, -2.588066015394645E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  9.031393001231214E-02,  1.563737223734884E+01, -2.595486850694286E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  9.020884775174921E-02,  1.561917780794309E+01, -2.602924355274564E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  9.010346446053520E-02,  1.560093125669584E+01, -2.610378865287072E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  8.999777944404044E-02,  1.558263246333568E+01, -2.617850727242515E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  8.989179199484257E-02,  1.556428130537623E+01, -2.625340214607340E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  8.978550139735129E-02,  1.554587765891688E+01, -2.632847442786682E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  8.967890693588337E-02,  1.552742140004091E+01, -2.640372292594775E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  8.957200790337665E-02,  1.550891240632430E+01, -2.647914513974603E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  8.946480359362229E-02,  1.549035055549079E+01, -2.655474563643214E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  8.935729324507499E-02,  1.547173571568289E+01, -2.663054602508887E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  8.924947601683314E-02,  1.545306774130300E+01, -2.670655885597595E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  8.914135106006922E-02,  1.543434648538119E+01, -2.678277689920038E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  8.903291756927008E-02,  1.541557180844719E+01, -2.685918891140213E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  8.892417477303226E-02,  1.539674357693662E+01, -2.693578938780043E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  8.881512191678786E-02,  1.537786166020011E+01, -2.701257462949041E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  8.870575825910436E-02,  1.535892592986259E+01, -2.708954239808065E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  8.859608306699025E-02,  1.533993625901051E+01, -2.716668975538178E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  8.848609561835834E-02,  1.532089252261836E+01, -2.724401470219314E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  8.837579520613599E-02,  1.530179459826030E+01, -2.732151193746877E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  8.826518114154470E-02,  1.528264236667805E+01, -2.739917715912000E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  8.815425275608575E-02,  1.526343571212461E+01, -2.747700637696956E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  8.804300936952172E-02,  1.524417451682054E+01, -2.755501148851310E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  8.793145022471528E-02,  1.522485864967157E+01, -2.763321455487072E-03,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  8.781957450413626E-02,  1.520548796912676E+01, -2.771161978669945E-03,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  8.770738140987307E-02,  1.518606233703197E+01, -2.779021820034190E-03,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  8.759487017136387E-02,  1.516658161996857E+01, -2.786900465972902E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  8.748204003014719E-02,  1.514704568661303E+01, -2.794797924822528E-03,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  8.736889022221282E-02,  1.512745440468107E+01, -2.802714391225938E-03,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000,  8.725541997298067E-02,  1.510780764005831E+01, -2.810650175493969E-03,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000,  8.714162849524945E-02,  1.508810525644508E+01, -2.818605577835445E-03,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000,  8.702751499072738E-02,  1.506834711562144E+01, -2.826580837837754E-03,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000,  8.691307865420710E-02,  1.504853307817005E+01, -2.834576039142986E-03,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000,  8.679831868025531E-02,  1.502866300463446E+01, -2.842591161224445E-03,
2448333.500000000, A.D. 1991-Mar-18 00:00:00.0000,  8.668323425510545E-02,  1.500873675411536E+01, -2.850626836186242E-03,
2448340.500000000, A.D. 1991-Mar-25 00:00:00.0000,  8.656782450653169E-02,  1.498875417559153E+01, -2.858685356894619E-03,
2448347.500000000, A.D. 1991-Apr-01 00:00:00.0000,  8.645208846360984E-02,  1.496871510095266E+01, -2.866768704088566E-03,
