Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 6 (LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2458510.5 ! 2019-Jan-27.0000000 (TDB)    RMSW= n.a.                  
  EC= .937662754552529    QR= 1.360177195447402   TP= 2458615.3529378418      
  OM= 233.5895763829199   W= 251.2480607502961    IN= 83.27888375067246       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X= 1.167143446085398E+00  Y= 1.491531460650084E+00  Z= 5.721545680006686E-01
 VX=-7.101431169718302E-03 VY=-8.952847270164216E-04 VZ=-1.530824374214833E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  14.      M2=  15.8     k1=  10.    k2=  5.      PHCOF=  .030           
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448053.500000000, A.D. 1990-Jun-11 00:00:00.0000,  2.136719588831010E-01,  3.699615283359991E+01, -1.352158609189815E-03,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000,  2.136172647431524E-01,  3.698668283682908E+01, -1.353554774756885E-03,
2448067.500000000, A.D. 1990-Jun-25 00:00:00.0000,  2.135625141556722E-01,  3.697720306647113E+01, -1.354951071985490E-03,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000,  2.135077071116459E-01,  3.696771352096522E+01, -1.356347745165832E-03,
2448081.500000000, A.D. 1990-Jul-09 00:00:00.0000,  2.134528435872141E-01,  3.695821419618027E+01, -1.357745197913267E-03,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  2.133979235483481E-01,  3.694870508622434E+01, -1.359143489401859E-03,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  2.133429469637747E-01,  3.693918618568271E+01, -1.360542489887750E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  2.132879138063363E-01,  3.692965748985313E+01, -1.361942141283421E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  2.132328240495233E-01,  3.692011899414563E+01, -1.363342461889264E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  2.131776776652964E-01,  3.691057069370535E+01, -1.364743503258123E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  2.131224746233267E-01,  3.690101258328101E+01, -1.366145323885189E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  2.130672148910625E-01,  3.689144465723647E+01, -1.367547972755868E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  2.130118984344253E-01,  3.688186690967117E+01, -1.368951473574379E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  2.129565252191804E-01,  3.687227933465760E+01, -1.370355808095124E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  2.129010952126059E-01,  3.686268192653012E+01, -1.371760929063998E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  2.128456083822731E-01,  3.685307467967389E+01, -1.373166910636295E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  2.127900646867411E-01,  3.684345758691364E+01, -1.374574116460345E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  2.127344640701125E-01,  3.683383063857101E+01, -1.375982794108168E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  2.126788064748003E-01,  3.682419382467514E+01, -1.377392809103343E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  2.126230918509183E-01,  3.681454713658852E+01, -1.378803964853235E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  2.125673201550854E-01,  3.680489056679992E+01, -1.380216136465015E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  2.125114913479852E-01,  3.679522410850191E+01, -1.381629241011271E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  2.124556053933501E-01,  3.678554775541497E+01, -1.383043207220868E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  2.123996622578135E-01,  3.677586150176184E+01, -1.384457961190036E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  2.123436619112021E-01,  3.676616534231817E+01, -1.385873417331231E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  2.122876043272167E-01,  3.675645927253041E+01, -1.387289467530292E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  2.122314894845338E-01,  3.674674328870650E+01, -1.388705974843666E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  2.121753173671884E-01,  3.673701738808220E+01, -1.390122833866667E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  2.121190879592844E-01,  3.672728156790519E+01, -1.391540187369703E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  2.120628012334922E-01,  3.671753582344346E+01, -1.392958389711553E-03,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  2.120064571530075E-01,  3.670778014832456E+01, -1.394377494742700E-03,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  2.119500556848420E-01,  3.669801453683674E+01, -1.395797323244752E-03,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  2.118935968025557E-01,  3.668823898440210E+01, -1.397217753436772E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  2.118370804827619E-01,  3.667845348697130E+01, -1.398638749635965E-03,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  2.117805067024738E-01,  3.666865804056433E+01, -1.400060321995747E-03,
