  EC= .9627088867609728   QR= .6593373359243724   TP= 2449996.5001733755      
  OM= 79.62450068849807   W= 12.99609193700053    IN= 85.38275311444475       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X=-7.897756445823674E-01  Y=-3.928366881559356E+00  Z= 6.310765590973433E-01
 VX=-2.139734251711361E-03 VY=-1.070379933292618E-02 VZ=-3.164519594983152E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  7.5      M2=  n.a.     k1=  10.    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448053.500000000, A.D. 1990-Jun-11 00:00:00.0000,  8.513552480542377E-02,  1.474075916996378E+01, -4.640378696511441E-03,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000,  8.494774533944099E-02,  1.470824616330243E+01, -4.649057455332407E-03,
2448067.500000000, A.D. 1990-Jun-25 00:00:00.0000,  8.475961431779866E-02,  1.467567228666553E+01, -4.657770071507383E-03,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000,  8.457113036670634E-02,  1.464303730218866E+01, -4.666517107957146E-03,
2448081.500000000, A.D. 1990-Jul-09 00:00:00.0000,  8.438229204999503E-02,  1.461034096120686E+01, -4.675300896283909E-03,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  8.419309784752214E-02,  1.457758300051560E+01, -4.684122823104752E-03,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  8.400354621411062E-02,  1.454476315257576E+01, -4.692982942238223E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  8.381363560730810E-02,  1.451188115031999E+01, -4.701881216715107E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  8.362336448048345E-02,  1.447893672595742E+01, -4.710817890859836E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  8.343273127275493E-02,  1.444592960922976E+01, -4.719793404100953E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  8.324173440343048E-02,  1.441285952644865E+01, -4.728808282591985E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  8.305037227010839E-02,  1.437972620016684E+01, -4.737863061305104E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  8.285864325008005E-02,  1.434652934942103E+01, -4.746958191220755E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  8.266654570630100E-02,  1.431326869076579E+01, -4.756093903310682E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  8.247407799939001E-02,  1.427994394035103E+01, -4.765270079035589E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  8.228123849562800E-02,  1.424655481530708E+01, -4.774486752513425E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  8.208802553097878E-02,  1.421310102751498E+01, -4.783745577949738E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  8.189443735225677E-02,  1.417958227342008E+01, -4.793048817202572E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  8.170047214481937E-02,  1.414599823882676E+01, -4.802397129809986E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  8.150612809187155E-02,  1.411234860916668E+01, -4.811790213840727E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  8.131140338704991E-02,  1.407863307167774E+01, -4.821227938184613E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  8.111629622582396E-02,  1.404485131391516E+01, -4.830710286525278E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  8.092080480274000E-02,  1.401100302327432E+01, -4.840237374535919E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  8.072492730685495E-02,  1.397708788620016E+01, -4.849809263822065E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  8.052866192356620E-02,  1.394310558850396E+01, -4.859426118520012E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  8.033200683893639E-02,  1.390905581611221E+01, -4.869087743707198E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  8.013496024494529E-02,  1.387493825597591E+01, -4.878793958033941E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  7.993752035235262E-02,  1.384075259829770E+01, -4.888544099606377E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  7.973968538387542E-02,  1.380649853535060E+01, -4.898338552588675E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  7.954145351030012E-02,  1.377217575041608E+01, -4.908179334259692E-03,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  7.934282282132593E-02,  1.373778391273582E+01, -4.918068017657289E-03,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  7.914379137666702E-02,  1.370332268635972E+01, -4.928004633014203E-03,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  7.894435724290806E-02,  1.366879173652732E+01, -4.937988990155725E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  7.874451848884732E-02,  1.363419072886140E+01, -4.948021195531209E-03,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  7.854427317426485E-02,  1.359951932742328E+01, -4.958101563461718E-03,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000,  7.834361934309111E-02,  1.356477719353002E+01, -4.968230551035332E-03,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000,  7.814255501950026E-02,  1.352996398507799E+01, -4.978408666264852E-03,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000,  7.794107820705093E-02,  1.349507935639407E+01, -4.988636409386583E-03,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000,  7.773918689122999E-02,  1.346012295867614E+01, -4.998914143047532E-03,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000,  7.753687904840810E-02,  1.342509444154362E+01, -5.009241952070250E-03,
2448333.500000000, A.D. 1991-Mar-18 00:00:00.0000,  7.733415265264507E-02,  1.338999345421586E+01, -5.019620010206862E-03,
2448340.500000000, A.D. 1991-Mar-25 00:00:00.0000,  7.713100564617537E-02,  1.335481964040179E+01, -5.030049975676262E-03,
2448347.500000000, A.D. 1991-Apr-01 00:00:00.0000,  7.692743587336021E-02,  1.331957262686413E+01, -5.040534590878912E-03,
2448354.500000000, A.D. 1991-Apr-08 00:00:00.0000,  7.672344109346821E-02,  1.328425202563227E+01, -5.051075104833585E-03,
2448361.500000000, A.D. 1991-Apr-15 00:00:00.0000,  7.651901904081632E-02,  1.324885744441534E+01, -5.061671758240907E-03,
2448368.500000000, A.D. 1991-Apr-22 00:00:00.0000,  7.631416744095627E-02,  1.321338848940485E+01, -5.072324824053993E-03,
2448375.500000000, A.D. 1991-Apr-29 00:00:00.0000,  7.610888400429290E-02,  1.317784476416966E+01, -5.083034767412027E-03,
2448382.500000000, A.D. 1991-May-06 00:00:00.0000,  7.590316642044187E-02,  1.314222586867914E+01, -5.093802131028196E-03,
2448389.500000000, A.D. 1991-May-13 00:00:00.0000,  7.569701235712910E-02,  1.310653139911255E+01, -5.104627444959644E-03,
2448396.500000000, A.D. 1991-May-20 00:00:00.0000,  7.549041946193268E-02,  1.307076094816066E+01, -5.115511162511046E-03,
2448403.500000000, A.D. 1991-May-27 00:00:00.0000,  7.528338536718802E-02,  1.303491410587506E+01, -5.126453564049337E-03,
2448410.500000000, A.D. 1991-Jun-03 00:00:00.0000,  7.507590769960970E-02,  1.299899046133409E+01, -5.137454644460114E-03,
2448417.500000000, A.D. 1991-Jun-10 00:00:00.0000,  7.486798409336873E-02,  1.296298960490720E+01, -5.148514010609115E-03,
2448424.500000000, A.D. 1991-Jun-17 00:00:00.0000,  7.465961219325834E-02,  1.292691112880295E+01, -5.159631898812640E-03,
2448431.500000000, A.D. 1991-Jun-24 00:00:00.0000,  7.445078959822915E-02,  1.289075461729254E+01, -5.170810218844179E-03,
2448438.500000000, A.D. 1991-Jul-01 00:00:00.0000,  7.424151382591947E-02,  1.285451964056836E+01, -5.182050690055073E-03,
2448445.500000000, A.D. 1991-Jul-08 00:00:00.0000,  7.403178235572590E-02,  1.281820576220147E+01, -5.193353469309666E-03,
2448452.500000000, A.D. 1991-Jul-15 00:00:00.0000,  7.382159267789781E-02,  1.278181254764201E+01, -5.204718142561690E-03,
2448459.500000000, A.D. 1991-Jul-22 00:00:00.0000,  7.361094229056941E-02,  1.274533956370535E+01, -5.216144724169235E-03,
2448466.500000000, A.D. 1991-Jul-29 00:00:00.0000,  7.339982869191389E-02,  1.270878637721360E+01, -5.227633200260237E-03,
2448473.500000000, A.D. 1991-Aug-05 00:00:00.0000,  7.318824937308209E-02,  1.267215255377300E+01, -5.239183863767904E-03,
2448480.500000000, A.D. 1991-Aug-12 00:00:00.0000,  7.297620181595950E-02,  1.263543765738554E+01, -5.250796972238563E-03,
2448487.500000000, A.D. 1991-Aug-19 00:00:00.0000,  7.276368348967557E-02,  1.259864124984457E+01, -5.262472789637419E-03,
2448494.500000000, A.D. 1991-Aug-26 00:00:00.0000,  7.255069185565786E-02,  1.256176289160988E+01, -5.274211478879745E-03,
2448501.500000000, A.D. 1991-Sep-02 00:00:00.0000,  7.233722437191381E-02,  1.252480214254912E+01, -5.286012983206137E-03,
2448508.500000000, A.D. 1991-Sep-09 00:00:00.0000,  7.212327850282452E-02,  1.248775856363349E+01, -5.297877200451334E-03,
2448515.500000000, A.D. 1991-Sep-16 00:00:00.0000,  7.190885169413326E-02,  1.245063171260713E+01, -5.309805399981311E-03,
2448522.500000000, A.D. 1991-Sep-23 00:00:00.0000,  7.169394130544510E-02,  1.241342113229984E+01, -5.321800278497375E-03,
2448529.500000000, A.D. 1991-Sep-30 00:00:00.0000,  7.147854460509458E-02,  1.237612634973841E+01, -5.333863293567644E-03,
2448536.500000000, A.D. 1991-Oct-07 00:00:00.0000,  7.126265882836252E-02,  1.233874688622654E+01, -5.345994877764381E-03,
2448543.500000000, A.D. 1991-Oct-14 00:00:00.0000,  7.104628119545571E-02,  1.230128226045797E+01, -5.358195468955152E-03,
2448550.500000000, A.D. 1991-Oct-21 00:00:00.0000,  7.082940890229741E-02,  1.226373198692185E+01, -5.370465812001965E-03,
2448557.500000000, A.D. 1991-Oct-28 00:00:00.0000,  7.061203911039894E-02,  1.222609557414912E+01, -5.382806847312408E-03,
2448564.500000000, A.D. 1991-Nov-04 00:00:00.0000,  7.039416894089626E-02,  1.218837252367990E+01, -5.395219617495816E-03,
2448571.500000000, A.D. 1991-Nov-11 00:00:00.0000,  7.017579547205628E-02,  1.215056232963180E+01, -5.407705188229106E-03,
2448578.500000000, A.D. 1991-Nov-18 00:00:00.0000,  6.995691574002101E-02,  1.211266447882872E+01, -5.420264558675741E-03,
2448585.500000000, A.D. 1991-Nov-25 00:00:00.0000,  6.973752674432888E-02,  1.207467845175684E+01, -5.432898510873057E-03,
2448592.500000000, A.D. 1991-Dec-02 00:00:00.0000,  6.951762545937283E-02,  1.203660372454853E+01, -5.445607521768741E-03,
2448599.500000000, A.D. 1991-Dec-09 00:00:00.0000,  6.929720883757036E-02,  1.199843976953124E+01, -5.458392430201175E-03,
2448606.500000000, A.D. 1991-Dec-16 00:00:00.0000,  6.907627376512780E-02,  1.196018604756832E+01, -5.471255767927974E-03,
2448613.500000000, A.D. 1991-Dec-23 00:00:00.0000,  6.885481701095464E-02,  1.192184199921378E+01, -5.484200276367957E-03,
2448620.500000000, A.D. 1991-Dec-30 00:00:00.0000,  6.863283526764258E-02,  1.188340705180762E+01, -5.497227007177879E-03,
2448627.500000000, A.D. 1992-Jan-06 00:00:00.0000,  6.841032520247173E-02,  1.184488062830729E+01, -5.510336377041835E-03,
2448634.500000000, A.D. 1992-Jan-13 00:00:00.0000,  6.818728346400797E-02,  1.180626214842996E+01, -5.523528936486156E-03,
2448641.500000000, A.D. 1992-Jan-20 00:00:00.0000,  6.796370667536304E-02,  1.176755102748555E+01, -5.536805374046953E-03,
2448648.500000000, A.D. 1992-Jan-27 00:00:00.0000,  6.773959143044263E-02,  1.172874667572711E+01, -5.550166439803396E-03,
2448655.500000000, A.D. 1992-Feb-03 00:00:00.0000,  6.751493429279665E-02,  1.168984849815175E+01, -5.563612864509988E-03,
2448662.500000000, A.D. 1992-Feb-10 00:00:00.0000,  6.728973179755600E-02,  1.165085589483598E+01, -5.577145338226275E-03,
2448669.500000000, A.D. 1992-Feb-17 00:00:00.0000,  6.706398045635797E-02,  1.161176826178853E+01, -5.590764284537059E-03,
2448676.500000000, A.D. 1992-Feb-24 00:00:00.0000,  6.683767676421287E-02,  1.157258499213925E+01, -5.604470066616414E-03,
2448683.500000000, A.D. 1992-Mar-02 00:00:00.0000,  6.661081721398762E-02,  1.153330547864685E+01, -5.618262570350578E-03,
2448690.500000000, A.D. 1992-Mar-09 00:00:00.0000,  6.638339828069735E-02,  1.149392911097914E+01, -5.632143058591358E-03,
2448697.500000000, A.D. 1992-Mar-16 00:00:00.0000,  6.615541635672501E-02,  1.145445526449658E+01, -5.646114086076360E-03,
2448704.500000000, A.D. 1992-Mar-23 00:00:00.0000,  6.592686773925406E-02,  1.141488329807637E+01, -5.660177497266383E-03,
2448711.500000000, A.D. 1992-Mar-30 00:00:00.0000,  6.569774868133273E-02,  1.137521256295392E+01, -5.674333732386625E-03,
2448718.500000000, A.D. 1992-Apr-06 00:00:00.0000,  6.546805542438829E-02,  1.133544240835252E+01, -5.688583187586041E-03,
2448725.500000000, A.D. 1992-Apr-13 00:00:00.0000,  6.523778418569678E-02,  1.129557217931384E+01, -5.702926544760096E-03,
2448732.500000000, A.D. 1992-Apr-20 00:00:00.0000,  6.500693115149087E-02,  1.125560121550452E+01, -5.717364711916885E-03,
2448739.500000000, A.D. 1992-Apr-27 00:00:00.0000,  6.477549246855405E-02,  1.121552884976081E+01, -5.731898704965020E-03,
2448746.500000000, A.D. 1992-May-04 00:00:00.0000,  6.454346424071172E-02,  1.117535440748100E+01, -5.746529620794478E-03,
2448753.500000000, A.D. 1992-May-11 00:00:00.0000,  6.431084252734723E-02,  1.113507720636845E+01, -5.761258547899079E-03,
2448760.500000000, A.D. 1992-May-18 00:00:00.0000,  6.407762334578684E-02,  1.109469655684459E+01, -5.776086449763336E-03,
2448767.500000000, A.D. 1992-May-25 00:00:00.0000,  6.384380267941697E-02,  1.105421176345433E+01, -5.791014048822336E-03,
2448774.500000000, A.D. 1992-Jun-01 00:00:00.0000,  6.360937648035046E-02,  1.101362212532774E+01, -5.806042351208890E-03,
2448781.500000000, A.D. 1992-Jun-08 00:00:00.0000,  6.337434063105989E-02,  1.097292692953705E+01, -5.821173994401144E-03,
2448788.500000000, A.D. 1992-Jun-15 00:00:00.0000,  6.313869088180525E-02,  1.093212544026258E+01, -5.836412343169473E-03,
2448795.500000000, A.D. 1992-Jun-22 00:00:00.0000,  6.290242287765900E-02,  1.089121690347200E+01, -5.851759202964228E-03,
