Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 6 (LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2458510.5 ! 2019-Jan-27.0000000 (TDB)    RMSW= n.a.                  
  EC= .937662754552529    QR= 1.360177195447402   TP= 2458615.3529378418      
  OM= 233.5895763829199   W= 251.2480607502961    IN= 83.27888375067246       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X= 1.167143446085398E+00  Y= 1.491531460650084E+00  Z= 5.721545680006686E-01
 VX=-7.101431169718302E-03 VY=-8.952847270164216E-04 VZ=-1.530824374214833E-02
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  14.      M2=  15.8     k1=  10.    k2=  5.      PHCOF=  .030           
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2449194.530000000, A.D. 1993-Jul-26 00:43:12.0000,  2.039864941623000E-01,  3.531916660223750E+01, -1.591392240585439E-03,
2449251.140000000, A.D. 1993-Sep-20 15:21:36.0000,  2.034641394481785E-01,  3.522872368713529E+01, -1.603916087004718E-03,
2449307.750000000, A.D. 1993-Nov-16 06:00:00.0000,  2.029376790108445E-01,  3.513756988809556E+01, -1.616509612658442E-03,
2449364.360000000, A.D. 1994-Jan-11 20:38:24.0000,  2.024070879291027E-01,  3.504570089014715E+01, -1.629183163669909E-03,
2449420.970000000, A.D. 1994-Mar-09 11:16:48.0000,  2.018723433309777E-01,  3.495311273313026E+01, -1.641914970341912E-03,
2449477.580000000, A.D. 1994-May-05 01:55:12.0000,  2.013334259954879E-01,  3.485980208903511E+01, -1.654709732620881E-03,
2449534.190000000, A.D. 1994-Jun-30 16:33:36.0000,  2.007903119144640E-01,  3.476576480097601E+01, -1.667592146288767E-03,
2449590.800000000, A.D. 1994-Aug-26 07:12:00.0000,  2.002429717140909E-01,  3.467099578303457E+01, -1.680556177366927E-03,
2449647.410000000, A.D. 1994-Oct-21 21:50:24.0000,  1.996913833828724E-01,  3.457549122403834E+01, -1.693572990479816E-03,
2449704.020000000, A.D. 1994-Dec-17 12:28:48.0000,  1.991355322475531E-01,  3.447924858339193E+01, -1.706637991281386E-03,
2449760.630000000, A.D. 1995-Feb-12 03:07:12.0000,  1.985753967797181E-01,  3.438226413356582E+01, -1.719784994268514E-03,
2449817.240000000, A.D. 1995-Apr-09 17:45:36.0000,  1.980109467550762E-01,  3.428453264138624E+01, -1.733027981042518E-03,
2449873.850000000, A.D. 1995-Jun-05 08:24:00.0000,  1.974421554077215E-01,  3.418604947248021E+01, -1.746338854265036E-03,
2449930.460000000, A.D. 1995-Jul-31 23:02:24.0000,  1.968690019876232E-01,  3.408681103409131E+01, -1.759711283320970E-03,
2449987.070000000, A.D. 1995-Sep-26 13:40:48.0000,  1.962914632750936E-01,  3.398681330585523E+01, -1.773167713030152E-03,
2450043.680000000, A.D. 1995-Nov-22 04:19:12.0000,  1.957095118303037E-01,  3.388605153671283E+01, -1.786702146734565E-03,
2450100.290000000, A.D. 1996-Jan-17 18:57:36.0000,  1.951231250017526E-01,  3.378452180467834E+01, -1.800295210300702E-03,
2450156.900000000, A.D. 1996-Mar-14 09:36:00.0000,  1.945322836478747E-01,  3.368222079549238E+01, -1.813956899575078E-03,
2450213.510000000, A.D. 1996-May-10 00:14:24.0000,  1.939369606247253E-01,  3.357914380932667E+01, -1.827714349281205E-03,
2450270.120000000, A.D. 1996-Jul-05 14:52:48.0000,  1.933371229075758E-01,  3.347528512812668E+01, -1.841567703669569E-03,
2450326.730000000, A.D. 1996-Aug-31 05:31:12.0000,  1.927327446700535E-01,  3.337064028019458E+01, -1.855486496601948E-03,
2450383.340000000, A.D. 1996-Oct-26 20:09:36.0000,  1.921238065205492E-01,  3.326520590797733E+01, -1.869463628199468E-03,
2450439.950000000, A.D. 1996-Dec-22 10:48:00.0000,  1.915102848528871E-01,  3.315897792419227E+01, -1.883527569200894E-03,
2450496.560000000, A.D. 1997-Feb-17 01:26:24.0000,  1.908921498786902E-01,  3.305195117114186E+01, -1.897683439849843E-03,
2450553.170000000, A.D. 1997-Apr-14 16:04:48.0000,  1.902693737354829E-01,  3.294412082458795E+01, -1.911914783940762E-03,
2450609.780000000, A.D. 1997-Jun-10 06:43:12.0000,  1.896419318889039E-01,  3.283548263653758E+01, -1.926226778910741E-03,
2450666.390000000, A.D. 1997-Aug-05 21:21:36.0000,  1.890097953834562E-01,  3.272603159350185E+01, -1.940636147114378E-03,
2450723.000000000, A.D. 1997-Oct-01 12:00:00.0000,  1.883729319300518E-01,  3.261576210479850E+01, -1.955136018409470E-03,
2450779.610000000, A.D. 1997-Nov-27 02:38:24.0000,  1.877313162534850E-01,  3.250466979416131E+01, -1.969703816419359E-03,
2450836.220000000, A.D. 1998-Jan-22 17:16:48.0000,  1.870849269450761E-01,  3.239275095479228E+01, -1.984342615966049E-03,
2450892.830000000, A.D. 1998-Mar-20 07:55:12.0000,  1.864337347432921E-01,  3.228000052021407E+01, -1.999086216613282E-03,
2450949.440000000, A.D. 1998-May-15 22:33:36.0000,  1.857777038395537E-01,  3.216641229036334E+01, -2.013939235337044E-03,
2451006.050000000, A.D. 1998-Jul-11 13:12:00.0000,  1.851168027079567E-01,  3.205198080669899E+01, -2.028875192128488E-03,
2451062.660000000, A.D. 1998-Sep-06 03:50:24.0000,  1.844510048632722E-01,  3.193670148344578E+01, -2.043894037187143E-03,
2451119.270000000, A.D. 1998-Nov-01 18:28:48.0000,  1.837802804596038E-01,  3.182056915294697E+01, -2.059015229843969E-03,
