Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
 EPOCH=  2458679.5 ! 2019-Jul-15.0000000 (TDB)    RMSW= n.a.                  
  EC= .6851211084947294   QR= .9589096682577553   TP= 2458838.493166626       
  OM= 68.92462865910687   W= 9.847265516657052    IN= 5.897394919082268       
 Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
  X= 1.806457266246343E+00  Y=-9.923836828350668E-01  Z=-6.676379654077969E-01
 VX=-1.691548184328044E-03 VY= 1.179852737585390E-02 VZ= 5.825041808322046E-03
Comet physical (GM= km^3/s^2; RAD= km):                                        
  GM= n.a.                RAD= n.a.                                           
  M1=  22.      M2=  n.a.     k1=  4.5    k2= n.a.     PHCOF= n.a.            
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2448046.500000000, A.D. 1990-Jun-04 00:00:00.0000, -1.329530849533680E+00, -4.896300857206736E+00, -3.039605075404008E-02,  3.950902006701288E-03, -1.232726855524669E-03, -6.602757985411628E-04,  2.930319419500894E-02,  5.073690795076756E+00,  1.582724030949334E-04,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000, -1.273926926933441E+00, -4.912471629845938E+00, -3.963247100564310E-02,  3.992214951827251E-03, -1.077321569300539E-03, -6.591641621234513E-04,  2.931144577629155E-02,  5.075119512086912E+00,  4.584046231034030E-05,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000, -1.217757173076812E+00, -4.926463967006115E+00, -4.885128760181207E-02,  4.031740686925772E-03, -9.215097386638233E-04, -6.577611411122857E-04,  2.931060826966298E-02,  5.074974502309349E+00, -6.655484473576627E-05,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000, -1.161046389486434E+00, -4.938271615264104E+00, -5.804842094644239E-02,  4.069507679105426E-03, -7.652081357270933E-04, -6.560661734845201E-04,  2.930068214141145E-02,  5.073255846479360E+00, -1.789773674839149E-04,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000, -1.103819121186833E+00, -4.947887125567939E+00, -6.721976705492579E-02,  4.105525717047131E-03, -6.083346086388567E-04, -6.540769316440051E-04,  2.928166272848369E-02,  5.069962737214303E+00, -2.914853596557550E-04,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000, -1.046099781483935E+00, -4.955301957180875E+00, -7.636119275467131E-02,  4.139805309247102E-03, -4.508122428299533E-04, -6.517914561967362E-04,  2.925354099121226E-02,  5.065093609344280E+00, -4.041321296361139E-04,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000, -9.879126486596708E-01, -4.960506461510082E+00, -8.546853291282357E-02,  4.172354091384269E-03, -2.925597683693731E-04, -6.492070406312314E-04,  2.921630343187455E-02,  5.058646125811067E+00, -5.169742895294046E-04,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000, -9.292819358052862E-01, -4.963489834948624E+00, -9.453757828371612E-02,  4.203173651224771E-03, -1.334939861478253E-04, -6.463201209628245E-04,  2.916993194386373E-02,  5.050617151552877E+00, -6.300686964273548E-04,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000, -8.702318656171106E-01, -4.964240116568855E+00, -1.035640662371976E-01,  4.232262343781677E-03,  2.646692106680321E-05, -6.431267758376973E-04,  2.911440392045320E-02,  5.041002772336332E+00, -7.434697126308655E-04,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000, -8.107866589183378E-01, -4.962744162821965E+00, -1.125436770846852E-01,  4.259620773740033E-03,  1.874137034754309E-04, -6.396223541232439E-04,  2.904969215445010E-02,  5.029798277382025E+00, -8.572400460006138E-04,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000, -7.509706444106606E-01, -4.958987475085251E+00, -1.214720068155662E-01,  4.285230790324442E-03,  3.494438203546058E-04, -6.357996999476940E-04,  2.897576403477516E-02,  5.016998020256611E+00, -9.714451094617171E-04,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000, -6.908084572742148E-01, -4.952954271216926E+00, -1.303445512923910E-01,  4.309070653073376E-03,  5.126451263927087E-04, -6.316518615487748E-04,  2.889258218982866E-02,  5.002595530268182E+00, -1.086139766283016E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000, -6.303250276673799E-01, -4.944627519696506E+00, -1.391567065572713E-01,  4.331118588973903E-03,  6.771090877671317E-04, -6.271713370069131E-04,  2.880010472563221E-02,  4.986583553699243E+00, -1.201381569448772E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000, -5.695456219485421E-01, -4.933988881148117E+00, -1.479037568088140E-01,  4.351348102467807E-03,  8.429307219793686E-04, -6.223496601515364E-04,  2.869828500917805E-02,  4.968954016294793E+00, -1.317229782547777E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000, -5.084959100152188E-01, -4.921018675447820E+00, -1.565808622944120E-01,  4.369728691228422E-03,  1.010206064696458E-03, -6.171776924571441E-04,  2.858707163316606E-02,  4.949698017156733E+00, -1.433742793583684E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000, -4.472019707426620E-01, -4.905695855232438E+00, -1.651830536940131E-01,  4.386233244975000E-03,  1.179037466699078E-03, -6.116458902028136E-04,  2.846640839868995E-02,  4.928805825746083E+00, -1.550983767504975E-03,
