  AMRAT=  0.                                      DT=  0.                     
  A1= 6.353809833527E-9   A2= -2.782798558474E-10 A3= -1.536136716604E-9      
Standard model:                                                               
  ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  2.099499344622330E-02,  3.635170428244418E+00, -5.121081676448445E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  2.078684422122970E-02,  3.599130507141472E+00, -5.176049804761993E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  2.057647155314391E-02,  3.562705608801058E+00, -5.231070181019344E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  2.036387395866996E-02,  3.525895476398439E+00, -5.286111093413769E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  2.014905131113428E-02,  3.488700088000766E+00, -5.341137078190152E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  1.993200500035079E-02,  3.451119684246860E+00, -5.396108504243119E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  1.971273811056440E-02,  3.413154799157171E+00, -5.450981092596807E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  1.949125561985876E-02,  3.374806294660169E+00, -5.505705316685276E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  1.926756462937077E-02,  3.336075400279588E+00, -5.560225476810103E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  1.904167464006828E-02,  3.296963761057021E+00, -5.614478332425758E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  1.881359786954914E-02,  3.257473492403957E+00, -5.668392964834182E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  1.858334952748059E-02,  3.217607227792644E+00, -5.721892366967255E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  1.835094808682079E-02,  3.177368165716640E+00, -5.774891486550681E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  1.811641567468303E-02,  3.136760137366843E+00, -5.827294331209691E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  1.787977853741075E-02,  3.095787687156750E+00, -5.878993004094476E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  1.764106753821226E-02,  3.054456158885227E+00, -5.929866817914159E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  1.740031869983300E-02,  3.012771789697300E+00, -5.979780968908065E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  1.715757380719130E-02,  2.970741814427305E+00, -6.028584917659546E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  1.691288108006082E-02,  2.928374582070241E+00, -6.076110546661664E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  1.666629592484022E-02,  2.885679685946648E+00, -6.122170082434938E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  1.641788177670954E-02,  2.842668109517478E+00, -6.166553668102218E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  1.616771105222012E-02,  2.799352391319909E+00, -6.209026258522781E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  1.591586624217741E-02,  2.755746814194150E+00, -6.249323977319417E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  1.566244112373799E-02,  2.711867615151530E+00, -6.287152283877039E-03,
