  GM= n.a.                RAD= n.a.                                           
  M1=  17.7     M2=  21.1     k1=  16.    k2=  5.      PHCOF=  .030           
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448053.500000000, A.D. 1990-Jun-11 00:00:00.0000,  2.799691855831151E-02,  4.847516179789470E+00, -1.269934127302382E-03,
2448060.500000000, A.D. 1990-Jun-18 00:00:00.0000,  2.794452488892715E-02,  4.838444497149457E+00, -1.321996185755817E-03,
2448067.500000000, A.D. 1990-Jun-25 00:00:00.0000,  2.789002383004395E-02,  4.829007931328769E+00, -1.374187661447698E-03,
2448074.500000000, A.D. 1990-Jul-02 00:00:00.0000,  2.783340999839401E-02,  4.819205550243459E+00, -1.426516078540775E-03,
2448081.500000000, A.D. 1990-Jul-09 00:00:00.0000,  2.777467772255333E-02,  4.809036371916903E+00, -1.478987687933082E-03,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  2.771382112355972E-02,  4.798499378438351E+00, -1.531606833491781E-03,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  2.765083414285207E-02,  4.787593520800465E+00, -1.584378344388820E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  2.758571050713043E-02,  4.776317712815030E+00, -1.637307921453875E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  2.751844370503068E-02,  4.764670827074299E+00, -1.690401567128837E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  2.744902698142175E-02,  4.752651693963581E+00, -1.743665316344675E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  2.737745333787311E-02,  4.740259101742196E+00, -1.797105165036181E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  2.730371553466445E-02,  4.727491796891425E+00, -1.850727052411015E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  2.722780609313622E-02,  4.714348484521514E+00, -1.904536862285247E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  2.714971729697632E-02,  4.700827828594435E+00, -1.958540492125905E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  2.706944118623777E-02,  4.686928450888092E+00, -2.012744194081666E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  2.698696952864009E-02,  4.672648926027306E+00, -2.067155293271616E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  2.690229377934185E-02,  4.657987774518644E+00, -2.121781552022640E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  2.681540511620009E-02,  4.642943468855409E+00, -2.176628683503097E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  2.672629451561198E-02,  4.627514446649201E+00, -2.231701414222579E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  2.663495274625824E-02,  4.611699109546633E+00, -2.287005385857815E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  2.654137033251030E-02,  4.595495816893476E+00, -2.342546945273157E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  2.644553753585200E-02,  4.578902882517930E+00, -2.398332705886313E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  2.634744434788409E-02,  4.561918573519382E+00, -2.454369393955290E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  2.624708048669515E-02,  4.544541109640053E+00, -2.510663810860050E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  2.614443539411477E-02,  4.526768662789410E+00, -2.567222820261996E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  2.603949823320852E-02,  4.508599356610421E+00, -2.624053354223103E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  2.593225788375870E-02,  4.490031265697074E+00, -2.681162538144718E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  2.582270292561302E-02,  4.471062412711297E+00, -2.738558219769628E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  2.571082159447677E-02,  4.451690760728607E+00, -2.796249561234098E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  2.559660175378787E-02,  4.431914208368417E+00, -2.854245296618584E-03,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  2.548003095892437E-02,  4.411730600911233E+00, -2.912552044269123E-03,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  2.536109650605235E-02,  4.391137738756393E+00, -2.971176396015464E-03,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  2.523978540514780E-02,  4.370133372750968E+00, -3.030125883590550E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  2.511608435025003E-02,  4.348715199039279E+00, -3.089408524386448E-03,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  2.498997970738598E-02,  4.326880856972066E+00, -3.149032496886595E-03,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000,  2.486145751078076E-02,  4.304627928450369E+00, -3.209006026091330E-03,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000,  2.473050346204094E-02,  4.281953937784108E+00, -3.269337335138519E-03,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000,  2.459710293097347E-02,  4.258856351833882E+00, -3.330034610010906E-03,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000,  2.446124095734145E-02,  4.235332580314970E+00, -3.391106000760038E-03,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000,  2.432290224925329E-02,  4.211379975518416E+00, -3.452559837772310E-03,
2448333.500000000, A.D. 1991-Mar-18 00:00:00.0000,  2.418207116270289E-02,  4.186995828768531E+00, -3.514405362265993E-03,
2448340.500000000, A.D. 1991-Mar-25 00:00:00.0000,  2.403873165620949E-02,  4.162177362569026E+00, -3.576652764136708E-03,
2448347.500000000, A.D. 1991-Apr-01 00:00:00.0000,  2.389286729980084E-02,  4.136921732158386E+00, -3.639310629237809E-03,
2448354.500000000, A.D. 1991-Apr-08 00:00:00.0000,  2.374446135963914E-02,  4.111226040162413E+00, -3.702385775877622E-03,
2448361.500000000, A.D. 1991-Apr-15 00:00:00.0000,  2.359349682309967E-02,  4.085087340936449E+00, -3.765885381457829E-03,
2448368.500000000, A.D. 1991-Apr-22 00:00:00.0000,  2.343995637464468E-02,  4.058502636388071E+00, -3.829817175086128E-03,
2448375.500000000, A.D. 1991-Apr-29 00:00:00.0000,  2.328382238306260E-02,  4.031468873767629E+00, -3.894188985711700E-03,
2448382.500000000, A.D. 1991-May-06 00:00:00.0000,  2.312507690281827E-02,  4.003982945902029E+00, -3.959008511305655E-03,
2448389.500000000, A.D. 1991-May-13 00:00:00.0000,  2.296370168150508E-02,  3.976041692485034E+00, -4.024283223419992E-03,
2448396.500000000, A.D. 1991-May-20 00:00:00.0000,  2.279967817028926E-02,  3.947641901885631E+00, -4.090020304659747E-03,
2448403.500000000, A.D. 1991-May-27 00:00:00.0000,  2.263298753678527E-02,  3.918780313377345E+00, -4.156226591776501E-03,
2448410.500000000, A.D. 1991-Jun-03 00:00:00.0000,  2.246361067932063E-02,  3.889453619608114E+00, -4.222908587673334E-03,
2448417.500000000, A.D. 1991-Jun-10 00:00:00.0000,  2.229152823495130E-02,  3.859658467988099E+00, -4.290072830379004E-03,
2448424.500000000, A.D. 1991-Jun-17 00:00:00.0000,  2.211672056111223E-02,  3.829391457512595E+00, -4.357726716954719E-03,
2448431.500000000, A.D. 1991-Jun-24 00:00:00.0000,  2.193916770913881E-02,  3.798649134177395E+00, -4.425877530268004E-03,
2448438.500000000, A.D. 1991-Jul-01 00:00:00.0000,  2.175884948611899E-02,  3.767428001688157E+00, -4.494529901120686E-03,
2448445.500000000, A.D. 1991-Jul-08 00:00:00.0000,  2.157574554980455E-02,  3.735724537893785E+00, -4.563686993180733E-03,
2448452.500000000, A.D. 1991-Jul-15 00:00:00.0000,  2.138983543179736E-02,  3.703535198801006E+00, -4.633351922541303E-03,
2448459.500000000, A.D. 1991-Jul-22 00:00:00.0000,  2.120109854295276E-02,  3.670856419509929E+00, -4.703527453009905E-03,
