  A1= 2.200273275375E-8   A2= -1.057375594974E-10 A3= 4.296959340572E-9       
Standard model:                                                               
  ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                     LT,                     RG,                     RR,
2448088.500000000, A.D. 1990-Jul-16 00:00:00.0000,  2.279356963728670E-02,  3.946584242182724E+00, -4.403657504194652E-03,
2448095.500000000, A.D. 1990-Jul-23 00:00:00.0000,  2.261444597983731E-02,  3.915569942310382E+00, -4.457607865343481E-03,
2448102.500000000, A.D. 1990-Jul-30 00:00:00.0000,  2.243313676755650E-02,  3.884177225349567E+00, -4.511775357912973E-03,
2448109.500000000, A.D. 1990-Aug-06 00:00:00.0000,  2.224963338847826E-02,  3.852404600184581E+00, -4.566151576639685E-03,
2448116.500000000, A.D. 1990-Aug-13 00:00:00.0000,  2.206392759274867E-02,  3.820250638397503E+00, -4.620726985314029E-03,
2448123.500000000, A.D. 1990-Aug-20 00:00:00.0000,  2.187601154204521E-02,  3.787713982824860E+00, -4.675490728375136E-03,
2448130.500000000, A.D. 1990-Aug-27 00:00:00.0000,  2.168587786703680E-02,  3.754793357506526E+00, -4.730430424571508E-03,
2448137.500000000, A.D. 1990-Sep-03 00:00:00.0000,  2.149351973370258E-02,  3.721487579168469E+00, -4.785531928314195E-03,
2448144.500000000, A.D. 1990-Sep-10 00:00:00.0000,  2.129893092097056E-02,  3.687795570665469E+00, -4.840778992852427E-03,
2448151.500000000, A.D. 1990-Sep-17 00:00:00.0000,  2.110210591552576E-02,  3.653716377396621E+00, -4.896152754966595E-03,
2448158.500000000, A.D. 1990-Sep-24 00:00:00.0000,  2.090304002620913E-02,  3.619249187112923E+00, -4.951631454351253E-03,
2448165.500000000, A.D. 1990-Oct-01 00:00:00.0000,  2.070172948088015E-02,  3.584393346688487E+00, -5.007191720431021E-03,
2448172.500000000, A.D. 1990-Oct-08 00:00:00.0000,  2.049817146919006E-02,  3.549148369526506E+00, -5.062809050617867E-03,
2448179.500000000, A.D. 1990-Oct-15 00:00:00.0000,  2.029236424216639E-02,  3.513513952801790E+00, -5.118455007860424E-03,
2448186.500000000, A.D. 1990-Oct-22 00:00:00.0000,  2.008430729936260E-02,  3.477490009864700E+00, -5.174096347451713E-03,
2448193.500000000, A.D. 1990-Oct-29 00:00:00.0000,  1.987400157224427E-02,  3.441076701993510E+00, -5.229695517151136E-03,
2448200.500000000, A.D. 1990-Nov-05 00:00:00.0000,  1.966144959839854E-02,  3.404274468557807E+00, -5.285210552908511E-03,
2448207.500000000, A.D. 1990-Nov-12 00:00:00.0000,  1.944665570888476E-02,  3.367084059457271E+00, -5.340594604754802E-03,
2448214.500000000, A.D. 1990-Nov-19 00:00:00.0000,  1.922962623728628E-02,  3.329506571317868E+00, -5.395795356067478E-03,
2448221.500000000, A.D. 1990-Nov-26 00:00:00.0000,  1.901036975354146E-02,  3.291543487978425E+00, -5.450754376716238E-03,
2448228.500000000, A.D. 1990-Dec-03 00:00:00.0000,  1.878889732580922E-02,  3.253196725831254E+00, -5.505406372064796E-03,
2448235.500000000, A.D. 1990-Dec-10 00:00:00.0000,  1.856522281640296E-02,  3.214468685061516E+00, -5.559678225710242E-03,
2448242.500000000, A.D. 1990-Dec-17 00:00:00.0000,  1.833936322229802E-02,  3.175362308604264E+00, -5.613487772506485E-03,
2448249.500000000, A.D. 1990-Dec-24 00:00:00.0000,  1.811133905942318E-02,  3.135881148682448E+00, -5.666743137123959E-03,
2448256.500000000, A.D. 1990-Dec-31 00:00:00.0000,  1.788117473919483E-02,  3.096029432001795E+00, -5.719343601676781E-03,
2448263.500000000, A.D. 1991-Jan-07 00:00:00.0000,  1.764889894311180E-02,  3.055812124609882E+00, -5.771178002867815E-03,
2448270.500000000, A.D. 1991-Jan-14 00:00:00.0000,  1.741454512210873E-02,  3.015235018356500E+00, -5.822121154563550E-03,
2448277.500000000, A.D. 1991-Jan-21 00:00:00.0000,  1.717815209561600E-02,  2.974304834617664E+00, -5.872032548590344E-03,
2448284.500000000, A.D. 1991-Jan-28 00:00:00.0000,  1.693976468901680E-02,  2.933029334667880E+00, -5.920755346577688E-03,
2448291.500000000, A.D. 1991-Feb-04 00:00:00.0000,  1.669943442637015E-02,  2.891417439621424E+00, -5.968114678828692E-03,
2448298.500000000, A.D. 1991-Feb-11 00:00:00.0000,  1.645722030104019E-02,  2.849479363862655E+00, -6.013915533233069E-03,
2448305.500000000, A.D. 1991-Feb-18 00:00:00.0000,  1.621318963743139E-02,  2.807226764250858E+00, -6.057940365265208E-03,
2448312.500000000, A.D. 1991-Feb-25 00:00:00.0000,  1.596741905500328E-02,  2.764672907034210E+00, -6.099946421193402E-03,
2448319.500000000, A.D. 1991-Mar-04 00:00:00.0000,  1.571999554743662E-02,  2.721832854701607E+00, -6.139662699238763E-03,
2448326.500000000, A.D. 1991-Mar-11 00:00:00.0000,  1.547101769465265E-02,  2.678723675837306E+00, -6.176786381000800E-03,
2448333.500000000, A.D. 1991-Mar-18 00:00:00.0000,  1.522059703138224E-02,  2.635364682081311E+00, -6.210978723258196E-03,
